"player_id","player_name","team_name","start_year","end_year","pitches","catcher_blocking_runs","blocks_above_average","n_pbwp","x_pbwp","blocks_above_average_per_game","freq_pbwp_easy","freq_pbwp_medium","freq_pbwp_tough","diff_pbwp_easy","diff_pbwp_medium","diff_pbwp_tough"
672386,"Kirk, Alejandro","TOR",2025,,4432,5,21,25,45.845154747767275,0.1881331655935669,0.941787003610108,0.04648014440433215,0.011732851985559565,8.61307043874851,12.314674997082356,-0.08259068806364891
643376,"Jansen, Danny","MIL",2025,,3149,3,14,9,22.506067537736776,0.17156008304524265,0.9637980311209899,0.028898062877103847,0.007303906001905378,6.610786976249391,3.6527416680138716,3.2425388934734842
663886,"Stephenson, Tyler","CIN",2025,,2565,3,10,13,23.088727380469834,0.15732908195664422,0.9516569200779729,0.040935672514619846,0.007407407407407402,4.579670233824234,3.116883359656917,2.3921737869886677
693307,"Dingler, Dillon","DET",2025,,4432,2,10,31,40.769481099017135,0.08817221208499201,0.9514891696750892,0.0367779783393502,0.011732851985559576,12.048299473859641,1.0113986921957123,-3.290217067038239
669221,"Murphy, Sean","ATL",2025,,3064,2,8,19,27.034403900246446,0.10488777937658486,0.9494125326370761,0.040796344647519515,0.009791122715404714,2.024012916990485,4.9979456314711355,1.0124453517847785
608348,"Kelly, Carson","CHC",2025,,3062,2,7,15,21.560833929024202,0.08570651768810184,0.961789679947746,0.03363814500326582,0.004572175048987599,0.9331307345186663,4.983136601354511,0.644566593151007
686948,"Baldwin, Drake","ATL",2025,,3308,2,7,23,29.69929764396545,0.08100722665012632,0.948307134220073,0.042926239419588834,0.008766626360338578,1.0583932659131636,5.220965518583835,0.41993885946844645
623168,"Heineman, Tyler","TOR",2025,,1750,2,6,10,16.46555734851572,0.1477841679660737,0.9502857142857136,0.03657142857142854,0.013142857142857137,4.8127658999736,0.6476290704290972,1.00516237811303
665966,"Narváez, Carlos","BOS",2025,,4267,1,6,38,43.60176313462488,0.052512426853760404,0.9531286618232953,0.033278650105460536,0.013592688071244434,0.6418690648080551,1.5018329765764613,3.4580610932403735
663584,"Senger, Hayden","NYM",2025,,1074,1,5,5,9.958082570836874,0.18465856874625236,0.9571694599627564,0.03351955307262565,0.009310986964618257,1.7738498887325214,2.026839764278443,1.1573929178259028
642136,"Thaiss, Matt","TB",2025,,1793,1,5,10,14.502768244234296,0.10045216384237132,0.9576129392080306,0.031790295593976586,0.010596765197992197,1.4800114450236375,0.16480829878267156,2.8579485004279843
543877,"Vázquez, Christian","MIN",2025,,2245,1,5,12,17.44793819641969,0.09706794113888106,0.9559020044543434,0.03786191536748332,0.006236080178173729,1.593330854843154,3.43378848732222,0.42081885425432863
672515,"Moreno, Gabriel","AZ",2025,,2820,1,5,16,20.962637830449324,0.07039202596382013,0.9620567375886527,0.032269503546099296,0.005673758865248226,4.41586635775124,3.816065211930314,-3.269293739232233
672275,"Bailey, Patrick","SF",2025,,4824,1,5,33,37.665677278718,0.03868720794956879,0.9626865671641787,0.029643449419568823,0.007669983416252075,3.5038422177354196,1.724350850315685,-0.5625157893331121
605170,"Caratini, Victor","HOU",2025,,1986,1,4,11,15.299339527987538,0.08659294114778562,0.9657603222557904,0.025679758308157098,0.008559919436052367,1.4727827613694189,2.1141337331094325,0.7124230335086983
645444,"Herrera, Jose","AZ",2025,,2277,1,4,10,14.28480296286003,0.07527102262380368,0.9710144927536232,0.02239789196310937,0.006587615283267455,2.3284842811807147,0.5910190871668937,1.365299594512417
663743,"Fortes, Nick","TB",2025,,2599,1,4,18,21.988222594494722,0.06138087871480899,0.9530588687956906,0.03924586379376682,0.0076952674105425275,-0.26325619521816895,3.2206418274410904,1.0308369622717963
666023,"Fermin, Freddy","SD",2025,,3444,1,4,19,23.262546024251172,0.0495069224651704,0.968641114982579,0.02497096399535423,0.006387921022067369,1.5359332948917812,0.9715623314194595,1.7550503979399292
666310,"Naylor, Bo","CLE",2025,,4295,1,4,30,34.39115813480775,0.040895535597743726,0.9590221187427245,0.03236321303841676,0.008614668218859152,4.744528043315269,3.021457239166961,-3.3748271476744955
696100,"Goodman, Hunter","COL",2025,,4238,1,3,41,43.85175183161875,0.02691601539989413,0.9452571967909394,0.04341670599339311,0.01132609721566777,2.9816280782320135,1.1618741698676878,-1.291750416480916
624512,"McGuire, Reese","CHC",2025,,1314,1,2,9,11.400225495975146,0.07306622514383972,0.949771689497716,0.041095890410958874,0.009132420091324206,2.6452959279362003,0.37772518092464863,-0.6227956128857168
650968,"Pozo, Yohel","STL",2025,,1425,0,2,10,11.818648241644894,0.051049775204067414,0.952280701754386,0.042105263157894736,0.005614035087719301,-0.8642924427447796,4.146144987591913,-1.4632043032022304
543510,"McCann, James","AZ",2025,,1307,0,2,8,9.520348216219903,0.04652940217964503,0.9602142310635038,0.03596021423106352,0.0038255547054322912,2.716721140210788,0.7761128560712748,-1.9724857800621616
668939,"Rutschman, Adley","BAL",2025,,2601,1,2,21,23.250388678074057,0.03460805348825926,0.955017301038062,0.03383314109957709,0.011149557862360647,3.5275021250326914,4.113086733836418,-5.390200180795047
553869,"Díaz, Elias","SD",2025,,2817,0,2,17,18.507715814563383,0.021408815258265917,0.9687610933617314,0.025204117855875067,0.006034788782392624,1.8539201996175663,-0.3186241015263512,-0.02758028352783537
661388,"Contreras, William","MIL",2025,,4841,1,2,35,37.470608431995075,0.02041403372852772,0.9588927907457138,0.034083866969634405,0.007023342284651928,-1.5320138085939885,6.5993216158898615,-2.5966993753008065
