"id","name","pitches","rv_tot","pct_tot","rv_11","pct_11","rv_12","pct_12","rv_13","pct_13","rv_14","pct_14","rv_16","pct_16","rv_17","pct_17","rv_18","pct_18","rv_19","pct_19"
624512,"McGuire, Reese",2726,3.476345537155377,0.4450651769087523,1,0.21176470588235294,3,0.6257309941520468,1,0.27692307692307694,1,0.6036866359447005,-1,0.5838926174496645,0,0.189873417721519,-1,0.4481132075471698,-1,0.07291666666666667
663886,"Stephenson, Tyler",4979,-8.004213707488242,0.40343980343980346,0,0.13194444444444445,0,0.40551181102362205,0,0.17142857142857143,-2,0.5075757575757576,0,0.6272493573264781,-1,0.19298245614035087,-4,0.43914081145584727,-2,0.14018691588785046
660688,"Ruiz, Keibert",4942,-8.689108392859989,0.3826302729528536,-1,0.1044776119402985,0,0.41,0,0.20863309352517986,1,0.565597667638484,-3,0.5277777777777778,0,0.1917808219178082,-2,0.4146341463414634,-2,0.12568306010928962
518595,"d'Arnaud, Travis",4055,-3.3636699963828427,0.3992651561543172,1,0.21978021978021978,0,0.46534653465346537,-1,0.13761467889908258,1,0.5392156862745098,-1,0.5935483870967742,-1,0.14685314685314685,-2,0.40175953079178883,-1,0.12213740458015267
663698,"Bart, Joey",5833,-1.811542879993617,0.4119643614764531,-1,0.10497237569060773,0,0.391304347826087,0,0.21100917431192662,-1,0.484472049689441,2,0.6301369863013698,-1,0.24675324675324675,0,0.4883177570093458,0,0.1689497716894977
680779,"Davis, Henry",5421,-1.7310801480211915,0.40894568690095845,0,0.11392405063291139,0,0.43190661478599224,-1,0.14285714285714285,-2,0.4744525547445255,2,0.6028708133971292,0,0.1987179487179487,0,0.49095022624434387,1,0.22868217054263565
672386,"Kirk, Alejandro",8499,16.59932119448021,0.4713846153846154,1,0.1926605504587156,0,0.43896103896103894,0,0.19117647058823528,4,0.5901162790697675,2,0.5987460815047022,2,0.32340425531914896,5,0.5613207547169812,1,0.2356687898089172
672515,"Moreno, Gabriel",5400,6.400298931947815,0.4449737970462125,0,0.152,0,0.4077669902912621,0,0.1368421052631579,2,0.585,-1,0.5678670360110804,0,0.3160621761658031,4,0.5296523517382413,1,0.2565217391304348
693307,"Dingler, Dillon",8533,6.681841778351658,0.44622697563874036,-1,0.10344827586206896,1,0.44662921348314605,0,0.17218543046357615,0,0.5266955266955267,2,0.6273830155979203,1,0.2842465753424658,3,0.5378378378378378,1,0.24858757062146894
624431,"Trevino, Jose",6268,1.5401930179357712,0.41830870279146143,-1,0.1111111111111111,1,0.44545454545454544,0,0.1826086956521739,-4,0.42725173210161665,6,0.7074688796680498,-1,0.17687074829931973,-1,0.4421906693711968,1,0.2339622641509434
592663,"Realmuto, J.T.",9714,-8.471655172602366,0.409,1,0.18907563025210083,-2,0.3723404255319149,-1,0.1796116504854369,7,0.5860759493670886,-7,0.554726368159204,0,0.22483221476510068,-4,0.412,-3,0.16857142857142857
666163,"Rortvedt, Ben",2782,0.5930295458327473,0.40504050405040504,0,0.109375,0,0.39634146341463417,0,0.2073170731707317,-3,0.4382716049382716,2,0.620253164556962,0,0.22950819672131148,1,0.4766355140186916,1,0.2125984251968504
656180,"Adams, Riley",5664,-8.680845158201222,0.38695838695838697,0,0.13855421686746988,0,0.41210374639769454,-1,0.16101694915254236,2,0.5338983050847458,-5,0.47699757869249393,-1,0.2011173184357542,1,0.49521531100478466,-3,0.11467889908256881
605170,"Caratini, Victor",3758,-1.7352278195320623,0.4038208168642951,0,0.17777777777777778,0,0.4639175257731959,0,0.20689655172413793,-1,0.4804270462633452,1,0.6114864864864865,-1,0.18095238095238095,-1,0.41637010676156583,0,0.20863309352517986
543877,"Vázquez, Christian",4228,-2.8434048470474735,0.41091781643671266,0,0.1941747572815534,-1,0.38095238095238093,-1,0.15178571428571427,-1,0.5379310344827586,1,0.5666666666666667,0,0.2236842105263158,-1,0.4628975265017668,0,0.21176470588235294
673237,"Diaz, Yainer",8338,-3.435734785245068,0.41322561340514663,1,0.1532258064516129,2,0.4579831932773109,0,0.1952191235059761,2,0.5689320388349515,-4,0.5519765739385066,0,0.2245762711864407,-3,0.46766917293233085,-2,0.15671641791044777
455117,"Maldonado, Martín",3662,-0.3240805175869925,0.4126870990734141,0,0.15217391304347827,2,0.5135135135135135,0,0.2631578947368421,-1,0.5019305019305019,1,0.5827338129496403,-1,0.20430107526881722,-1,0.4326530612244898,0,0.20945945945945946
595978,"Hedges, Austin",4047,10.627768795238572,0.48589341692789967,2,0.23129251700680273,3,0.5426008968609866,2,0.32323232323232326,0,0.5945945945945946,3,0.6426592797783933,1,0.3411764705882353,0,0.5096525096525096,1,0.25308641975308643
661388,"Contreras, William",9591,0.9669799598274662,0.4368556701030928,1,0.1927710843373494,-1,0.4205020920502092,-2,0.15306122448979592,3,0.5822603719599427,-3,0.5777166437414031,-1,0.24333333333333335,3,0.5163240628778718,1,0.2202970297029703
620443,"Torrens, Luis",5589,3.819809188292555,0.4222323879231473,-1,0.0873015873015873,-1,0.37282229965156793,0,0.18571428571428572,-1,0.5025773195876289,4,0.6444444444444445,0,0.23780487804878048,1,0.5024752475247525,2,0.2290748898678414
669221,"Murphy, Sean",5650,1.6343502442375548,0.43317159241288045,-1,0.12686567164179105,-1,0.3875968992248062,0,0.20168067226890757,-1,0.5300668151447662,2,0.6233480176211453,0,0.2702702702702703,0,0.47629310344827586,1,0.24481327800829875
