"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Rodríguez, Julio",677594,"SEA","SL","Slider",1,4,"386",15.5,"107","0.257","0.495","0.358",36,23.4,24,"0.258","0.49","0.344",43.4
"Allen, Nick",669397,"ATL","SI","Sinker",-1.9,-7,"381",24.1,"107","0.25","0.293","0.297",11,15.9,23,"0.273","0.331","0.318",33.8
"Rafaela, Ceddanne",678882,"BOS","SL","Slider",0.6,2,"372",17.5,"106","0.272","0.495","0.329",29.6,17.9,14.3,"0.265","0.498","0.327",34.1
"Young, Cole",702284,"SEA","FF","4-Seam Fastball",-1.9,-8,"434",42,"106","0.185","0.25","0.253",25,17.9,15.7,"0.207","0.356","0.296",32.4
"Jeffers, Ryan",680777,"MIN","SI","Sinker",-0.1,0,"403",21.4,"106","0.274","0.421","0.334",7.1,16,20,"0.237","0.427","0.318",46.8
"Buxton, Byron",621439,"MIN","SI","Sinker",1.1,4,"384",18.9,"106","0.316","0.537","0.416",18.4,12.3,18.8,"0.254","0.439","0.336",46.3
"Carlson, Dylan",666185,"BAL","FF","4-Seam Fastball",-1,-4,"421",41.2,"106","0.198","0.341","0.313",20.7,17.9,12.8,"0.212","0.381","0.314",40.3
"Henderson, Gunnar",683002,"BAL","SI","Sinker",-0.2,-1,"389",15.5,"105","0.31","0.356","0.375",10.6,8.6,11.7,"0.281","0.38","0.35",45.6
"Soderstrom, Tyler",691016,"ATH","SI","Sinker",0.3,1,"369",16.6,"105","0.309","0.457","0.366",14.9,16.2,20.5,"0.278","0.399","0.331",55.1
"Suárez, Eugenio",553993,"SEA","SI","Sinker",1,4,"433",16.6,"105","0.272","0.435","0.377",20.9,19,24.4,"0.257","0.448","0.356",44.4
"Carroll, Corbin",682998,"AZ","SI","Sinker",-1,-4,"370",14.8,"105","0.207","0.356","0.311",17.7,21,24.7,"0.22","0.333","0.31",42.4
"Carroll, Corbin",682998,"AZ","SL","Slider",-0.2,-1,"427",17.1,"105","0.215","0.473","0.333",30.1,24.8,20.8,"0.267","0.536","0.382",50
"Perez, Salvador",521692,"KC","SI","Sinker",-0.3,-1,"317",14,"105","0.258","0.495","0.347",11.3,5.7,11.5,"0.317","0.604","0.411",53.8
"Kiner-Falefa, Isiah",643396,"TOR","FF","4-Seam Fastball",0.1,0,"444",27.2,"105","0.326","0.467","0.375",14.5,18.1,14.8,"0.279","0.344","0.316",32.9
"Albies, Ozzie",645277,"ATL","SI","Sinker",-0.2,-1,"323",13.5,"104","0.256","0.356","0.343",15.3,6.7,10.8,"0.277","0.394","0.341",46.4
"Bart, Joey",663698,"PIT","FF","4-Seam Fastball",1.6,6,"383",28.5,"104","0.31","0.44","0.398",20.5,25,21.8,"0.266","0.47","0.387",46.6
